,media_investments,kpi_forecast,increase_to_basic_level,kpi_increase_per_step_of_investment
0,1e-06,55.0,0.0,0.0
1,1.000001,55.00028799596806,0.00028799596805839656,0.0002879956800627165
2,2.0000009999999997,55.00115192742857,0.001151927428573174,0.000575963426304874
3,3.0000009999999997,55.002591628533246,0.0025916285332456823,0.0008638758897899309
4,4.000000999999999,55.00460682295673,0.004606822956731094,0.0011517054512564108
5,5.000000999999999,55.00719712402924,0.0071971240292398875,0.001439424517963074
6,6.000000999999999,55.0103620349219,0.010362034921897134,0.0017270055324819338
7,7.000000999999999,55.014100948884916,0.01410094888491642,0.0020144209814993486
8,8.000001,55.01841314953816,0.018413149538162088,0.0023016434045648355
9,9.000000999999997,55.02329781121396,0.023297811213957687,0.0025886454028124766
10,10.000000999999997,55.028753999351835,0.02875399935183509,0.002875399647643545
11,11.000000999999997,55.034780670944805,0.03478067094480508,0.0031618788893569274
12,12.000000999999997,55.04137667503683,0.041376675036829624,0.003448055965731139
13,13.000000999999997,55.04854075327096,0.048540753270962966,0.0037339038105430127
14,14.000000999999997,55.05627154048782,0.05627154048782046,0.004019395462030358
15,15.000000999999997,55.064567565373665,0.06456756537366459,0.004304504071277369
16,16.000000999999997,55.07342725115766,0.07342725115766058,0.004589202910528605
17,17.000000999999997,55.08284891635769,0.08284891635769043,0.004873465381425003
18,18.000000999999997,55.09283077557395,0.09283077557395103,0.005157265023149223
19,19.000000999999997,55.1033709403298,0.10337094032980332,0.005440575520485674
20,20.000000999999997,55.114467419959006,0.11446741995900567,0.005723370711781748
21,21.000000999999997,55.126118122538614,0.12611812253861387,0.006005624596809014
22,22.000000999999997,55.13832085586679,0.13832085586678744,0.0062873113445216415
23,23.000000999999997,55.151073328484514,0.1510733284845145,0.006568405300700401
24,24.000000999999997,55.16437315074054,0.1643731507405377,0.006848880995485697
25,25.000000999999997,55.178217835898444,0.17821783589844387,0.007128713150789229
26,26.000000999999997,55.19260480128506,0.1926048012850572,0.0074078766875838664
27,27.000000999999997,55.20753136947909,0.20753136947909212,0.007686346733064645
28,28.000000999999997,55.2229947695391,0.22299476953909902,0.007964098627678586
29,29.000000999999997,55.23899213826966,0.23899213826965848,0.008241107932018986
30,30.000000999999997,55.255520521524744,0.255520521524744,0.008517350433579787
31,31.000000999999997,55.27257687554719,0.27257687554718757,0.008792802153367273
32,32.000001,55.290158068343146,0.29015806834314617,0.009067439352365838
33,33.00000099999999,55.308260881090355,0.3082608810903551,0.00934123853785202
34,34.00000099999999,55.32688200957918,0.32688200957917957,0.009614176469558918
35,35.00000099999999,55.34601806568503,0.3460180656850298,0.009886230165679992
36,36.00000099999999,55.36566557887128,0.3656655788712797,0.010157376908719524
37,37.00000099999999,55.385820997721105,0.3858209977211047,0.01042759425117596
38,38.00000099999999,55.406480691497364,0.40648069149736443,0.010696860021065908
39,39.00000099999999,55.427640951729025,0.4276409517290247,0.010965152327278783
40,40.00000099999999,55.44929799382303,0.4492979938230306,0.011232449564764529
41,41.00000099999999,55.47144795870026,0.47144795870026,0.011498730419549505
42,42.00000099999999,55.494086914454385,0.49408691445438535,0.011763973873581229
43,43.00000099999999,55.51721085803229,0.5172108580322927,0.012028159209398457
44,44.00000099999999,55.54081571693476,0.5408157169347589,0.012291266014624842
45,45.00000099999999,55.564897350936214,0.5648973509362136,0.012553274186287546
46,46.00000099999999,55.58945155382212,0.5894515538221228,0.01281416393495563
47,47.00000099999999,55.614474055142864,0.614474055142864,0.013073915788701028
48,48.00000099999999,55.63996052198265,0.6399605219826512,0.013332510596877931
49,49.00000099999999,55.66590656074238,0.6659065607423784,0.01358992953372345
50,50.00000099999999,55.69230771893491,0.6923077189349129,0.01384615410177518
51,51.00000099999999,55.719159486991686,0.7191594869916855,0.014101166135108227
52,52.00000099999999,55.746457300079264,0.746457300079264,0.014354947802390699
53,53.00000099999999,55.77419653992459,0.7741965399245885,0.014607481609756737
54,54.00000099999999,55.80237253664767,0.8023725366476668,0.014858750403498456
55,55.00000099999999,55.83098057060042,0.830980570600417,0.015108737372575995
56,56.00000099999999,55.86001587421047,0.8600158742104682,0.015357426050947184
57,57.00000099999999,55.88947363382865,0.8894736338286506,0.015604800319716675
58,58.00000099999999,55.91934899157894,0.9193489915789428,0.01585084440910515
59,59.00000099999999,55.94963704720969,0.9496370472096913,0.016095542900239807
60,60.00000099999999,55.98033285994493,0.9803328599449301,0.016338880726767493
61,61.00000099999999,56.01143145033457,1.0114314503345696,0.016580843176290598
62,62.00000099999999,56.04292780210233,1.0429278021023265,0.016821415891627594
63,63.00000099999999,56.07481686399033,1.0748168639903284,0.017060584871900694
64,64.000001,56.10709355159908,1.1070935515990783,0.017298336473449093
65,65.00000099999998,56.13975274922191,1.1397527492219126,0.01753465741057316
66,66.00000099999998,56.17278931167272,1.172789311672723,0.01776953475610892
67,67.00000099999998,56.20619806610592,1.2061980661059195,0.01800295594183528
68,68.00000099999998,56.239973813827596,1.2399738138275964,0.018234908758716
69,69.00000099999998,56.27411133209694,1.2741113320969433,0.01846538135697916
70,70.00000099999998,56.30860537591684,1.3086053759168408,0.018694362246035413
71,71.00000099999998,56.343450679812705,1.3434506798127046,0.01892184029423753
72,72.00000099999998,56.37864195959866,1.37864195959866,0.019147804728484107
73,73.00000099999998,56.4141739141301,1.414173914130103,0.01937224513366929
74,74.00000099999998,56.45004122704181,1.4500412270418082,0.019595151451981853
75,75.00000099999998,56.48623856847067,1.486238568470668,0.019816513982055393
76,76.00000099999998,56.52276059676227,1.522760596762268,0.02003632337797296
